@relation 'Workbook1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 4 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 10-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute angka_harapan_hidup numeric
@attribute angka_melek_huruf numeric
@attribute lama_sekolah numeric
@attribute pengeluaran_perkapita numeric
@attribute ipm numeric
@attribute cluster {cluster1,cluster2,cluster3,cluster4}

@data
0.777941,0.958074,0.830489,0.581201,0.836006,cluster3
0.9,0.957534,0.807642,0.701963,0.894934,cluster3
0.743382,0.968589,0.990417,0.687859,0.888341,cluster3
0.735294,0.828919,0.653089,0.709896,0.766364,cluster3
0.515441,0.934615,0.713566,0.691826,0.743287,cluster3
0.865441,0.957265,0.837208,0.680073,0.885868,cluster3
0.827941,0.98261,0.905749,0.576793,0.875978,cluster3
0.805882,0.988812,0.858711,0.73252,0.894522,cluster3
0.694118,0.971555,0.63965,0.572239,0.769248,cluster3
0.855081,0.816319,0.429996,0.439592,0.690324,cluster2
0.743535,0.638058,0.40754,0.551822,0.614201,cluster2
0.875516,0.83566,0.486441,0.556443,0.741324,cluster2
0.86676,0.86821,0.546985,0.511327,0.753655,cluster2
0.826208,0.802765,0.491817,0.784868,0.765377,cluster3
0.733786,0.841372,0.539785,0.447616,0.687737,cluster2
0.678646,0.75247,0.434028,0.529956,0.634146,cluster2
0.542691,0.674419,0.331889,0.401988,0.514459,cluster2
0.240427,0.581665,0.384302,0.367672,0.393337,cluster4
0.557699,0.679168,0.436716,0.482158,0.561877,cluster2
0.25088,0.351398,0.237814,0.402475,0.292635,cluster1
0.268014,0.455432,0.30235,0.488241,0.366492,cluster4
0.100195,0.443343,0.210299,0.53781,0.299938,cluster1
0.308804,0.724301,0.36742,0.502872,0.488448,cluster4
0.799649,0.973443,0.814362,0.713863,0.872991,cluster3
0.775422,0.884489,0.569618,0.603993,0.755909,cluster3
0.786218,0.841588,0.543898,0.556886,0.72868,cluster2
0.679619,0.786531,0.457464,0.483751,0.641357,cluster2
0.687355,0.696396,0.442681,0.421427,0.596329,cluster2
0.844342,0.76933,0.535328,0.585104,0.726387,cluster2
0.739121,0.64259,0.36405,0.397619,0.571169,cluster2
0.56415,0.627772,0.397742,0.21973,0.480874,cluster2
0.598568,0.638558,0.357424,0.421889,0.529777,cluster2
0.635901,0.683149,0.448057,0.45363,0.583989,cluster2
0.829888,0.883655,0.668462,0.610957,0.796539,cluster3
0.279981,0.579508,0.210935,0.437488,0.380628,cluster4
0.182868,0.07691,0.045631,0.447527,0.14432,cluster1
0.293282,0.493535,0.308331,0.399297,0.36944,cluster1
0.378966,0.467879,0.211758,0.630319,0.415388,cluster4
0.790636,0.974232,0.837709,0.654958,0.863029,cluster3
0.916394,0.969436,0.822834,0.781742,0.924571,cluster3
0.765229,0.968514,0.990417,0.747221,0.907796,cluster3
0.756056,0.83722,0.653406,0.767183,0.788117,cluster3
0.520991,0.934533,0.713157,0.758239,0.759618,cluster3
0.877255,0.966251,0.836751,0.736039,0.904589,cluster3
0.838577,0.9827,0.905389,0.651429,0.89544,cluster3
0.823869,0.988863,0.861607,0.798652,0.914821,cluster3
0.71097,0.971666,0.640482,0.642433,0.78985,cluster3
0.870929,0.816858,0.441419,0.50664,0.712523,cluster2
0.766187,0.659215,0.427308,0.5954,0.642345,cluster2
0.894257,0.847289,0.505215,0.600499,0.764892,cluster2
0.884792,0.869019,0.587781,0.532433,0.773371,cluster2
0.842328,0.825923,0.510174,0.797934,0.785254,cluster3
0.751507,0.849125,0.558652,0.481174,0.707424,cluster2
0.698229,0.762404,0.452722,0.569546,0.656418,cluster2
0.564178,0.674958,0.350014,0.468547,0.539831,cluster2
0.254083,0.588081,0.40533,0.434798,0.419048,cluster4
0.586805,0.679814,0.454847,0.527347,0.585041,cluster2
0.273544,0.378571,0.27691,0.447657,0.327563,cluster1
0.28075,0.45651,0.344083,0.544574,0.392474,cluster4
0.121026,0.447429,0.221094,0.620569,0.328146,cluster4
0.33101,0.745808,0.389022,0.570964,0.522285,cluster4
0.81721,0.974162,0.852689,0.749078,0.895018,cluster3
0.791888,0.885028,0.586164,0.64333,0.773477,cluster3
0.793313,0.842127,0.581698,0.598536,0.748657,cluster2
0.695979,0.78707,0.494953,0.524456,0.663944,cluster2
0.700199,0.72906,0.473809,0.441961,0.622928,cluster2
0.862193,0.782352,0.553864,0.62142,0.748424,cluster2
0.763265,0.643129,0.391102,0.408131,0.587285,cluster2
0.574197,0.628597,0.41694,0.287908,0.503374,cluster2
0.614844,0.655008,0.374789,0.480615,0.557065,cluster2
0.648753,0.693106,0.4841,0.513747,0.612548,cluster2
0.847866,0.892336,0.679609,0.651837,0.81645,cluster3
0.291336,0.581126,0.228852,0.514673,0.40546,cluster4
0.230938,0.095559,0.066606,0.519604,0.185958,cluster1
0.32255,0.510623,0.30952,0.459456,0.397625,cluster4
0.392032,0.468089,0.237684,0.693148,0.438991,cluster4
0.807359,0.974442,0.882587,0.693308,0.886786,cluster3
0.937215,0.969645,0.843928,0.802502,0.940401,cluster3
0.791426,0.968724,0.99319,0.801359,0.928351,cluster3
0.781329,0.83743,0.661381,0.806143,0.806287,cluster3
0.524137,0.940166,0.723128,0.814184,0.776863,cluster3
0.893161,0.966461,0.837988,0.772028,0.91767,cluster3
0.853517,0.983689,0.934094,0.662296,0.909296,cluster3
0.846243,0.99043,0.874845,0.836388,0.93348,cluster3
0.732027,0.984483,0.660064,0.676976,0.812671,cluster3
0.886825,0.817398,0.466333,0.574259,0.737925,cluster2
0.788941,0.659589,0.437306,0.653579,0.664399,cluster2
0.913065,0.851132,0.512362,0.657983,0.786097,cluster3
0.902886,0.870402,0.592774,0.576456,0.79012,cluster3
0.858499,0.828765,0.52676,0.838465,0.803778,cluster3
0.76929,0.850387,0.559751,0.532965,0.72483,cluster2
0.717889,0.762589,0.453351,0.624959,0.674718,cluster2
0.585758,0.675498,0.359433,0.533144,0.56283,cluster2
0.26778,0.598957,0.416039,0.503773,0.444342,cluster4
0.616083,0.684664,0.45986,0.572758,0.606754,cluster2
0.296321,0.416709,0.283244,0.505871,0.361624,cluster4
0.293521,0.457589,0.370024,0.606279,0.416042,cluster4
0.141955,0.475721,0.287353,0.641875,0.363924,cluster4
0.353323,0.774522,0.391411,0.639465,0.554328,cluster4
0.834831,0.974881,0.860926,0.802991,0.914268,cluster3
0.808408,0.885568,0.588316,0.703396,0.792271,cluster3
0.800417,0.842666,0.583394,0.656367,0.763933,cluster3
0.712392,0.787609,0.505541,0.581599,0.683989,cluster2
0.713076,0.762178,0.530885,0.483319,0.660085,cluster2
0.880105,0.789391,0.556552,0.657878,0.76488,cluster3
0.787522,0.643669,0.393851,0.447162,0.604079,cluster2
0.584265,0.634035,0.434533,0.349626,0.525688,cluster2
0.631173,0.661128,0.400519,0.540874,0.583092,cluster2
0.661639,0.697779,0.505505,0.580792,0.637496,cluster2
0.865906,0.895236,0.685523,0.709352,0.836822,cluster3
0.30272,0.581706,0.232995,0.589107,0.426225,cluster4
0.279517,0.128431,0.06974,0.589944,0.228158,cluster1
0.352003,0.527847,0.359848,0.48747,0.430129,cluster4
0.405134,0.468299,0.295631,0.762141,0.471211,cluster4
0.824136,0.97772,0.910117,0.749868,0.911597,cluster3
0.958117,0.969855,0.845272,0.853175,0.958234,cluster3
0.817756,0.968933,0.994578,0.858623,0.949309,cluster3
0.806728,0.841891,0.683675,0.854635,0.831251,cluster3
0.527285,0.94754,0.728146,0.875959,0.794835,cluster3
0.909115,0.966831,0.878497,0.818343,0.941971,cluster3
0.868501,0.984678,0.940265,0.705342,0.925,cluster3
0.868712,0.991997,0.876092,0.888749,0.952605,cluster3
0.753171,0.997363,0.682273,0.711647,0.836164,cluster3
0.902941,0.817757,0.471682,0.622789,0.754766,cluster2
0.811765,0.70243,0.478968,0.674888,0.700122,cluster2
0.931618,0.851402,0.513999,0.708829,0.803323,cluster3
0.920588,0.871211,0.593429,0.629379,0.807491,cluster3
0.874265,0.829297,0.528103,0.887932,0.819862,cluster3
0.786765,0.851196,0.572784,0.594157,0.746727,cluster2
0.7375,0.763537,0.481775,0.68702,0.701012,cluster2
0.607353,0.681963,0.400244,0.587157,0.592689,cluster2
0.281618,0.602225,0.443534,0.560742,0.468315,cluster4
0.645588,0.703434,0.464899,0.627501,0.635289,cluster2
0.319118,0.457823,0.29987,0.556936,0.397495,cluster4
0.305882,0.458309,0.371108,0.664077,0.43287,cluster4
0.163235,0.51701,0.31879,0.673759,0.398602,cluster4
0.375735,0.775601,0.417483,0.696628,0.579945,cluster4
0.852206,0.983887,0.862276,0.866793,0.936829,cluster3
0.825,0.885927,0.590409,0.771453,0.812739,cluster3
0.807353,0.852102,0.592369,0.706749,0.782222,cluster3
0.728676,0.803638,0.538735,0.635494,0.713688,cluster2
0.725735,0.762501,0.532632,0.523501,0.673216,cluster2
0.897794,0.789931,0.560482,0.712632,0.783294,cluster3
0.811765,0.654482,0.478601,0.480111,0.641668,cluster2
0.594118,0.634844,0.436448,0.409247,0.542348,cluster2
0.647059,0.662206,0.41148,0.580916,0.599546,cluster2
0.674265,0.740044,0.542184,0.625967,0.673873,cluster2
0.883824,0.897596,0.727663,0.769676,0.865808,cluster3
0.314706,0.582536,0.250608,0.648334,0.447037,cluster4
0.315441,0.169641,0.103064,0.643593,0.2725,cluster1
0.381618,0.554136,0.387855,0.541623,0.46634,cluster4
0.418382,0.468838,0.296975,0.818969,0.488103,cluster4
0.841176,0.978529,0.911734,0.81836,0.932344,cluster3
0.978676,0.97078,0.84951,0.908907,0.977955,cluster3
0.844118,0.969844,0.995968,0.924217,0.972315,cluster3
0.832353,0.84243,0.685153,0.913989,0.852573,cluster3
0.530147,0.948079,0.743282,0.938844,0.812935,cluster3
0.925,0.9671,0.88016,0.883826,0.961535,cluster3
0.883824,0.984948,0.941514,0.768415,0.943774,cluster3
0.8875,0.992267,0.893245,0.952427,0.976201,cluster3
0.773529,0.997767,0.684128,0.770117,0.855695,cluster3
0.918382,0.818716,0.474859,0.672538,0.77137,cluster2
0.823713,0.747526,0.503885,0.705058,0.731336,cluster2
0.950735,0.85247,0.521203,0.755202,0.821294,cluster3
0.9375,0.898015,0.60797,0.678986,0.835881,cluster3
0.889706,0.830131,0.533741,0.929345,0.835181,cluster3
0.805147,0.852119,0.576011,0.645939,0.764686,cluster3
0.757353,0.794397,0.490249,0.747663,0.732702,cluster2
0.628676,0.682458,0.403421,0.638292,0.611267,cluster2
0.294853,0.603637,0.45179,0.619587,0.487505,cluster4
0.675,0.722918,0.513745,0.685269,0.67464,cluster2
0.341912,0.524623,0.337851,0.60265,0.445783,cluster4
0.317647,0.459432,0.374359,0.717138,0.449118,cluster4
0.183824,0.518061,0.334093,0.724801,0.419873,cluster4
0.397794,0.806294,0.456712,0.753318,0.618397,cluster4
0.869853,0.984757,0.87256,0.918213,0.956065,cluster3
0.841176,0.887007,0.606524,0.831319,0.834738,cluster3
0.814706,0.879198,0.619748,0.760352,0.811514,cluster3
0.744853,0.804613,0.561249,0.677442,0.733233,cluster2
0.738971,0.764092,0.539401,0.566796,0.688769,cluster2
0.916176,0.803719,0.593517,0.758907,0.811203,cluster3
0.836029,0.655456,0.481777,0.529945,0.661043,cluster2
0.604412,0.635776,0.442581,0.466315,0.559593,cluster2
0.6625,0.662999,0.416443,0.641062,0.618746,cluster2
0.6875,0.741194,0.559627,0.688207,0.695794,cluster2
0.902206,0.941215,0.746042,0.807965,0.898793,cluster3
0.327206,0.583361,0.309843,0.695837,0.474927,cluster4
0.351471,0.211669,0.106291,0.692246,0.309237,cluster1
0.411029,0.618665,0.387994,0.594245,0.508815,cluster4
0.431618,0.470205,0.305728,0.865329,0.504693,cluster4
0.857353,0.979532,0.914907,0.867801,0.949124,cluster3
1,0.971927,0.852637,0.951688,0.994938,cluster3
0.869094,0.999564,1,0.965405,1,cluster3
0.857353,0.843591,0.704596,0.967169,0.876658,cluster3
0.533824,0.965369,0.755836,0.977026,0.831053,cluster3
0.941176,0.968275,0.8971,0.93839,0.982608,cluster3
0.898529,0.986052,0.944765,0.824987,0.96169,cluster3
0.906618,1,0.896458,1,0.995789,cluster3
0.794118,0.999014,0.686653,0.829058,0.875838,cluster3
